frame,class_id,class_name,x_center,y_center,width,height
3,10,adiwarna,0.542003,0.172698,0.09712,0.079135
3,2,jung agung,0.202076,0.458141,0.107911,0.069562
3,4,kambil sicukil,0.476659,0.488016,0.093526,0.075531
3,13,kupi,0.552797,0.852555,0.087531,0.081536
4,6,abstrak,0.073693,0.130419,0.117479,0.13613
4,10,adiwarna,0.416435,0.132927,0.107151,0.092229
4,1,granitan,0.748742,0.094464,0.049661,0.023458
4,1,granitan,0.841435,0.151253,0.042536,0.028505
4,3,kembang cengkih,0.740099,0.479081,0.080844,0.070536
4,3,kembang cengkih,0.881844,0.491352,0.066937,0.072109
4,4,kambil sicukil,0.478427,0.490617,0.068792,0.046391
4,2,jung agung,0.068758,0.493406,0.064755,0.087052
4,13,kupi,0.407542,0.804089,0.085885,0.085521
4,6,abstrak,0.224258,0.160109,0.113911,0.125896
4,10,adiwarna,0.542003,0.172698,0.09712,0.079135
4,2,jung agung,0.202076,0.458563,0.107911,0.069563
4,4,kambil sicukil,0.476659,0.488208,0.093526,0.075531
4,13,kupi,0.552797,0.852555,0.087531,0.081536
5,6,abstrak,0.073677,0.130344,0.117479,0.13599
5,10,adiwarna,0.416435,0.132943,0.107151,0.09226
5,1,granitan,0.748724,0.094341,0.049656,0.023359
5,1,granitan,0.84143,0.151411,0.042464,0.028396
5,3,kembang cengkih,0.740172,0.479083,0.080823,0.070542
5,3,kembang cengkih,0.881732,0.491193,0.066641,0.071896
5,4,kambil sicukil,0.478169,0.491195,0.06988,0.047047
5,2,jung agung,0.069096,0.493617,0.064755,0.087047
5,13,kupi,0.407724,0.803948,0.086208,0.08549
5,6,abstrak,0.224258,0.160109,0.113911,0.125896
5,10,adiwarna,0.542003,0.172698,0.09712,0.079135
5,2,jung agung,0.202076,0.458979,0.107911,0.069562
5,4,kambil sicukil,0.476659,0.488396,0.093526,0.075531
5,13,kupi,0.552797,0.852555,0.087531,0.081536
6,6,abstrak,0.073656,0.130266,0.117479,0.135854
6,10,adiwarna,0.416432,0.132961,0.107156,0.092297
6,1,granitan,0.748708,0.094221,0.049656,0.023266
6,1,granitan,0.841424,0.151568,0.042391,0.028281
6,3,kembang cengkih,0.740247,0.479086,0.080807,0.070547
6,3,kembang cengkih,0.881617,0.491034,0.066339,0.071693
6,4,kambil sicukil,0.477914,0.491776,0.070974,0.047698
6,2,jung agung,0.069435,0.493831,0.064755,0.087047
6,13,kupi,0.407906,0.80381,0.086531,0.085464
6,6,abstrak,0.224258,0.160109,0.113911,0.125896
6,10,adiwarna,0.542003,0.172698,0.09712,0.079135
6,2,jung agung,0.202076,0.459401,0.107911,0.069563
6,4,kambil sicukil,0.476659,0.488589,0.093526,0.075531
6,13,kupi,0.552797,0.852555,0.087531,0.081536
7,6,abstrak,0.073638,0.13019,0.117474,0.135714
7,10,adiwarna,0.416432,0.132974,0.107167,0.092333
7,1,granitan,0.748693,0.094102,0.049656,0.023161
7,1,granitan,0.841419,0.151724,0.042318,0.028167
7,3,kembang cengkih,0.74032,0.479089,0.080786,0.070552
7,3,kembang cengkih,0.881503,0.490875,0.066036,0.07149
7,4,kambil sicukil,0.477659,0.492357,0.072068,0.048349
7,2,jung agung,0.069773,0.494042,0.064755,0.087052
7,13,kupi,0.408086,0.803674,0.086849,0.085432
7,6,abstrak,0.224258,0.160109,0.113911,0.125896
7,10,adiwarna,0.542003,0.172698,0.09712,0.079135
7,2,jung agung,0.202076,0.45982,0.107911,0.069568
7,4,kambil sicukil,0.476659,0.488779,0.093526,0.075526
7,13,kupi,0.552797,0.852555,0.087531,0.081536
8,6,abstrak,0.07362,0.130112,0.117479,0.135578
8,10,adiwarna,0.41643,0.132992,0.107172,0.09237
8,1,granitan,0.748677,0.093979,0.049656,0.023062
8,1,granitan,0.841414,0.151883,0.042255,0.028057
8,3,kembang cengkih,0.740398,0.479091,0.080766,0.070557
8,3,kembang cengkih,0.881391,0.490716,0.06574,0.071286
8,4,kambil sicukil,0.477401,0.492938,0.073156,0.049
8,2,jung agung,0.070115,0.494255,0.06476,0.087052
8,13,kupi,0.408268,0.803536,0.087172,0.085406
8,6,abstrak,0.224258,0.160109,0.113911,0.125896
8,10,adiwarna,0.542003,0.172698,0.09712,0.079135
8,2,jung agung,0.202076,0.46024,0.107911,0.069563
8,4,kambil sicukil,0.476659,0.488969,0.093526,0.075531
8,13,kupi,0.552797,0.852555,0.087531,0.081536
9,6,abstrak,0.073602,0.130036,0.117474,0.135437
9,10,adiwarna,0.41643,0.133008,0.107172,0.092401
9,1,granitan,0.748661,0.093859,0.049656,0.022969
9,1,granitan,0.841409,0.152039,0.042182,0.027943
9,3,kembang cengkih,0.740471,0.479094,0.080745,0.070563
9,3,kembang cengkih,0.881273,0.490557,0.065443,0.071083
9,4,kambil sicukil,0.477146,0.493518,0.07425,0.049651
9,2,jung agung,0.070456,0.494466,0.064755,0.087047
9,13,kupi,0.408451,0.803398,0.087495,0.08538
9,6,abstrak,0.224258,0.160109,0.113911,0.125896
9,10,adiwarna,0.542003,0.172698,0.09712,0.079135
9,2,jung agung,0.202076,0.460659,0.107911,0.069568
9,4,kambil sicukil,0.476659,0.489161,0.093526,0.075531
9,13,kupi,0.552797,0.852555,0.087531,0.081536
10,6,abstrak,0.073581,0.129958,0.117474,0.135302
10,10,adiwarna,0.41643,0.133023,0.107182,0.092443
10,1,granitan,0.748646,0.093737,0.049656,0.02287
10,1,granitan,0.841404,0.152195,0.042109,0.027828
10,3,kembang cengkih,0.740547,0.479099,0.080729,0.070573
10,3,kembang cengkih,0.881161,0.490398,0.065146,0.07088
10,4,kambil sicukil,0.476888,0.494099,0.075339,0.050302
10,2,jung agung,0.070794,0.49468,0.064755,0.087047
10,13,kupi,0.40863,0.803263,0.087813,0.085349
10,6,abstrak,0.224258,0.160109,0.113911,0.125896
10,10,adiwarna,0.542003,0.172698,0.09712,0.079135
10,2,jung agung,0.202076,0.461078,0.107911,0.069562
10,4,kambil sicukil,0.476659,0.489349,0.093526,0.075531
10,13,kupi,0.552797,0.852555,0.087531,0.081536
11,6,abstrak,0.073565,0.129883,0.117474,0.135161
11,10,adiwarna,0.416427,0.133039,0.107188,0.092474
11,1,granitan,0.74863,0.093615,0.049656,0.022771
11,1,granitan,0.841398,0.152354,0.042036,0.027708
11,3,kembang cengkih,0.74062,0.479102,0.080708,0.070578
11,3,kembang cengkih,0.881047,0.490242,0.064844,0.070672
11,4,kambil sicukil,0.476633,0.494677,0.076432,0.050958
11,2,jung agung,0.071133,0.494891,0.064755,0.087052
11,13,kupi,0.408812,0.803125,0.088135,0.085323
11,6,abstrak,0.224258,0.160109,0.113911,0.125896
11,10,adiwarna,0.542003,0.172698,0.09712,0.079135
11,2,jung agung,0.202076,0.4615,0.107911,0.069563
11,4,kambil sicukil,0.476659,0.489542,0.093526,0.075531
11,13,kupi,0.552797,0.852555,0.087531,0.081536
12,6,abstrak,0.073544,0.129805,0.117474,0.135026
12,10,adiwarna,0.416424,0.133055,0.107193,0.092516
12,1,granitan,0.748615,0.093497,0.049656,0.022672
12,1,granitan,0.841393,0.152513,0.041974,0.027599
12,3,kembang cengkih,0.740698,0.479104,0.080687,0.070583
12,3,kembang cengkih,0.880932,0.490083,0.064542,0.070469
12,4,kambil sicukil,0.476641,0.494667,0.076437,0.050958
12,2,jung agung,0.071471,0.495104,0.064755,0.087052
12,13,kupi,0.408995,0.802987,0.088458,0.085297
12,6,abstrak,0.224258,0.160109,0.113911,0.125896
12,10,adiwarna,0.542003,0.172698,0.09712,0.079135
12,2,jung agung,0.202076,0.461917,0.107911,0.069562
12,4,kambil sicukil,0.476659,0.489734,0.093526,0.075531
12,13,kupi,0.552797,0.852555,0.087531,0.081536
13,6,abstrak,0.073526,0.129729,0.117469,0.134885
13,10,adiwarna,0.416427,0.13307,0.107198,0.092547
13,1,granitan,0.748599,0.093375,0.049656,0.022573
13,1,granitan,0.841388,0.152669,0.041901,0.027484
13,3,kembang cengkih,0.740771,0.479107,0.080667,0.070589
13,3,kembang cengkih,0.88082,0.489924,0.064245,0.070266
13,4,kambil sicukil,0.476648,0.494656,0.076432,0.050958
13,2,jung agung,0.071815,0.495315,0.064755,0.087047
13,13,kupi,0.409174,0.802852,0.088776,0.085266
13,6,abstrak,0.224258,0.160109,0.113911,0.125896
13,10,adiwarna,0.542003,0.172698,0.09712,0.079135
13,2,jung agung,0.202076,0.462339,0.107911,0.069563
13,4,kambil sicukil,0.476659,0.489922,0.093526,0.075531
13,13,kupi,0.552797,0.852555,0.087531,0.081536
14,6,abstrak,0.07351,0.129651,0.117469,0.13475
14,10,adiwarna,0.416424,0.133089,0.107203,0.092583
14,1,granitan,0.748581,0.093253,0.049661,0.022474
14,1,granitan,0.841383,0.152826,0.041828,0.02737
14,3,kembang cengkih,0.740846,0.479109,0.080651,0.070594
14,3,kembang cengkih,0.880706,0.489766,0.063943,0.070062
14,4,kambil sicukil,0.476659,0.494646,0.076432,0.050958
14,2,jung agung,0.072154,0.495529,0.064755,0.087047
14,13,kupi,0.409357,0.802711,0.089099,0.085234
14,6,abstrak,0.224258,0.160109,0.113911,0.125896
14,10,adiwarna,0.542003,0.172698,0.09712,0.079135
14,2,jung agung,0.202076,0.462758,0.107911,0.069568
14,4,kambil sicukil,0.476659,0.490115,0.093526,0.075531
14,13,kupi,0.552797,0.852555,0.087531,0.081536
15,6,abstrak,0.07349,0.129573,0.117469,0.134615
15,10,adiwarna,0.416422,0.133102,0.107208,0.09262
15,1,granitan,0.748565,0.09313,0.049661,0.022375
15,1,granitan,0.841375,0.152984,0.04176,0.02726
15,3,kembang cengkih,0.740919,0.479112,0.08063,0.070599
15,3,kembang cengkih,0.880591,0.489604,0.063641,0.069854
15,4,kambil sicukil,0.476669,0.494633,0.076432,0.050953
15,2,jung agung,0.072492,0.495742,0.064755,0.087047
15,13,kupi,0.409539,0.802573,0.089422,0.085208
15,6,abstrak,0.224258,0.160109,0.113911,0.125896
15,10,adiwarna,0.542003,0.172698,0.09712,0.079135
15,2,jung agung,0.202076,0.463177,0.107911,0.069563
15,4,kambil sicukil,0.476659,0.490305,0.093526,0.075526
15,13,kupi,0.552797,0.852555,0.087531,0.081536
16,6,abstrak,0.073474,0.129497,0.117469,0.134474
16,10,adiwarna,0.416422,0.133117,0.107219,0.092651
16,1,granitan,0.748549,0.093013,0.049661,0.022276
16,1,granitan,0.84137,0.153141,0.041687,0.027146
16,3,kembang cengkih,0.740997,0.479117,0.080609,0.070609
16,3,kembang cengkih,0.880479,0.489445,0.063344,0.069651
16,4,kambil sicukil,0.476674,0.494622,0.076432,0.050953
16,2,jung agung,0.072831,0.495953,0.064755,0.087052
16,13,kupi,0.409719,0.802435,0.08974,0.085182
16,6,abstrak,0.224258,0.160109,0.113911,0.125896
16,10,adiwarna,0.542003,0.172698,0.09712,0.079135
16,2,jung agung,0.202076,0.463596,0.107911,0.069568
16,4,kambil sicukil,0.476659,0.490495,0.093526,0.075531
16,13,kupi,0.552797,0.852555,0.087531,0.081536
17,6,abstrak,0.073453,0.129417,0.117469,0.134333
17,10,adiwarna,0.416422,0.133133,0.107219,0.092693
17,1,granitan,0.748534,0.092891,0.049661,0.022177
17,1,granitan,0.841367,0.153297,0.04162,0.027031
17,3,kembang cengkih,0.74107,0.47912,0.080589,0.070615
17,3,kembang cengkih,0.880365,0.489289,0.063042,0.069443
17,4,kambil sicukil,0.476685,0.494612,0.076432,0.050953
17,2,jung agung,0.073172,0.496164,0.06476,0.087047
17,13,kupi,0.409901,0.802299,0.090063,0.085151
17,6,abstrak,0.224258,0.160109,0.113911,0.125896
17,10,adiwarna,0.542003,0.172698,0.09712,0.079135
17,2,jung agung,0.202076,0.464016,0.107911,0.069563
17,4,kambil sicukil,0.476659,0.490687,0.093526,0.075531
17,13,kupi,0.552797,0.852555,0.087531,0.081536
18,6,abstrak,0.073435,0.129341,0.117464,0.134193
18,10,adiwarna,0.416419,0.133148,0.107224,0.092724
18,1,granitan,0.748518,0.092768,0.049661,0.022078
18,1,granitan,0.841362,0.153456,0.041547,0.026922
18,3,kembang cengkih,0.741146,0.479122,0.080573,0.07062
18,3,kembang cengkih,0.88025,0.48913,0.06274,0.06924
18,4,kambil sicukil,0.476695,0.494602,0.076432,0.050953
18,2,jung agung,0.073513,0.496378,0.064755,0.087047
18,13,kupi,0.410083,0.802161,0.090385,0.085125
18,6,abstrak,0.224258,0.160109,0.113911,0.125896
18,10,adiwarna,0.542003,0.172698,0.09712,0.079135
18,2,jung agung,0.202076,0.464438,0.107911,0.069562
18,4,kambil sicukil,0.476659,0.490875,0.093526,0.075531
18,13,kupi,0.552797,0.852555,0.087531,0.081536
19,6,abstrak,0.073417,0.129263,0.117469,0.134057
19,10,adiwarna,0.416419,0.133167,0.107234,0.09276
19,1,granitan,0.748503,0.092648,0.049661,0.021984
19,1,granitan,0.841354,0.153612,0.041479,0.026807
19,3,kembang cengkih,0.741219,0.479125,0.080552,0.070625
19,3,kembang cengkih,0.880138,0.488971,0.062443,0.069036
19,4,kambil sicukil,0.476703,0.494591,0.076437,0.050953
19,2,jung agung,0.073852,0.496591,0.064755,0.087047
19,13,kupi,0.410263,0.802023,0.090703,0.085099
19,6,abstrak,0.224258,0.160109,0.113911,0.125896
19,10,adiwarna,0.542003,0.172698,0.09712,0.079135
19,2,jung agung,0.202076,0.464854,0.107911,0.069562
19,4,kambil sicukil,0.476659,0.491068,0.093526,0.075531
19,13,kupi,0.552797,0.852555,0.087531,0.081536
20,6,abstrak,0.073398,0.129188,0.117464,0.133917
20,10,adiwarna,0.416417,0.13318,0.10724,0.092797
20,1,granitan,0.748487,0.092526,0.049661,0.021885
20,1,granitan,0.841349,0.153768,0.041406,0.026693
20,3,kembang cengkih,0.741294,0.479128,0.080536,0.07063
20,3,kembang cengkih,0.880023,0.488812,0.062141,0.068833
20,4,kambil sicukil,0.476711,0.494581,0.076432,0.050953
20,2,jung agung,0.07419,0.496802,0.064755,0.087052
20,13,kupi,0.410445,0.801888,0.091026,0.085068
20,6,abstrak,0.224258,0.160109,0.113911,0.125896
20,10,adiwarna,0.542003,0.172698,0.09712,0.079135
20,2,jung agung,0.202076,0.465276,0.107911,0.069563
20,4,kambil sicukil,0.476659,0.49126,0.093526,0.075531
20,13,kupi,0.552797,0.852555,0.087531,0.081536
21,6,abstrak,0.073378,0.129109,0.117464,0.133781
21,10,adiwarna,0.416414,0.133198,0.107245,0.092833
21,1,granitan,0.748471,0.092406,0.049661,0.021781
21,1,granitan,0.841344,0.153612,0.041333,0.026578
21,3,kembang cengkih,0.74137,0.47913,0.08051,0.070635
21,3,kembang cengkih,0.880076,0.488786,0.062172,0.068896
21,4,kambil sicukil,0.476721,0.49457,0.076432,0.050953
21,2,jung agung,0.074531,0.497016,0.06476,0.087052
21,13,kupi,0.410628,0.80175,0.091349,0.085042
21,6,abstrak,0.224258,0.160109,0.113911,0.125896
21,10,adiwarna,0.542003,0.172698,0.09712,0.079135
21,2,jung agung,0.202477,0.465354,0.107911,0.069562
21,4,kambil sicukil,0.476659,0.491448,0.093526,0.075531
21,13,kupi,0.552797,0.852555,0.087531,0.081536
22,6,abstrak,0.073362,0.129034,0.117464,0.133641
22,10,adiwarna,0.416414,0.133214,0.107245,0.092865
22,1,granitan,0.748456,0.092284,0.049661,0.021682
22,1,granitan,0.841341,0.153456,0.041266,0.026464
22,3,kembang cengkih,0.741445,0.479133,0.080495,0.070641
22,3,kembang cengkih,0.880125,0.488758,0.062208,0.068953
22,4,kambil sicukil,0.476732,0.494557,0.076432,0.050958
22,2,jung agung,0.074872,0.497227,0.064755,0.087047
22,13,kupi,0.410807,0.801609,0.091667,0.08501
22,6,abstrak,0.224258,0.160109,0.113911,0.125896
22,10,adiwarna,0.542003,0.172698,0.09712,0.079135
22,2,jung agung,0.202875,0.465435,0.107917,0.069568
22,4,kambil sicukil,0.476659,0.491641,0.093526,0.075531
22,13,kupi,0.552797,0.852555,0.087531,0.081536
23,6,abstrak,0.073341,0.128956,0.117464,0.133505
23,10,adiwarna,0.416414,0.133229,0.107255,0.092906
23,1,granitan,0.74844,0.092164,0.049661,0.021589
23,1,granitan,0.841333,0.153299,0.041198,0.026359
23,3,kembang cengkih,0.741518,0.479138,0.080474,0.070651
23,3,kembang cengkih,0.880177,0.488734,0.06224,0.06901
23,4,kambil sicukil,0.476737,0.494547,0.076432,0.050958
23,2,jung agung,0.075211,0.49744,0.064755,0.087047
23,13,kupi,0.41099,0.801474,0.09199,0.084979
23,6,abstrak,0.224258,0.160109,0.113911,0.125896
23,10,adiwarna,0.542003,0.172698,0.09712,0.079135
23,2,jung agung,0.203276,0.465516,0.107917,0.069563
23,4,kambil sicukil,0.476659,0.491831,0.093526,0.075526
23,13,kupi,0.552797,0.852555,0.087531,0.081536
24,6,abstrak,0.073323,0.12888,0.117458,0.133365
24,10,adiwarna,0.416411,0.133245,0.10726,0.092937
24,1,granitan,0.748424,0.092042,0.049661,0.02149
24,1,granitan,0.841328,0.153143,0.041125,0.026245
24,3,kembang cengkih,0.741594,0.479141,0.080458,0.070656
24,3,kembang cengkih,0.880229,0.488706,0.062271,0.069068
24,4,kambil sicukil,0.476747,0.494536,0.076432,0.050958
24,2,jung agung,0.075549,0.497651,0.064755,0.087052
24,13,kupi,0.411169,0.801336,0.092318,0.084953
24,6,abstrak,0.224258,0.160109,0.113911,0.125896
24,10,adiwarna,0.542003,0.172698,0.09712,0.079135
24,2,jung agung,0.203674,0.465594,0.107911,0.069563
24,4,kambil sicukil,0.476659,0.492021,0.093526,0.075531
24,13,kupi,0.552797,0.852555,0.087531,0.081536
25,6,abstrak,0.073305,0.128802,0.117464,0.133229
25,10,adiwarna,0.416409,0.13326,0.107266,0.092979
25,1,granitan,0.748409,0.091919,0.049661,0.021391
25,1,granitan,0.841323,0.152987,0.041052,0.02613
25,3,kembang cengkih,0.741669,0.479143,0.080432,0.070661
25,3,kembang cengkih,0.880281,0.48868,0.062302,0.06913
25,4,kambil sicukil,0.476758,0.494526,0.076432,0.050958
25,2,jung agung,0.075888,0.497865,0.064755,0.087052
25,13,kupi,0.411349,0.801198,0.092635,0.084927
25,6,abstrak,0.224258,0.160109,0.113911,0.125896
25,10,adiwarna,0.542003,0.172698,0.09712,0.079135
25,2,jung agung,0.204076,0.465674,0.107911,0.069568
25,4,kambil sicukil,0.476659,0.492214,0.093526,0.075531
25,13,kupi,0.552797,0.852555,0.087531,0.081536
26,6,abstrak,0.073286,0.128727,0.117458,0.133089
26,10,adiwarna,0.416411,0.133276,0.107271,0.09301
26,1,granitan,0.748393,0.091802,0.049661,0.021292
26,1,granitan,0.841315,0.152831,0.040984,0.026016
26,3,kembang cengkih,0.741745,0.479146,0.080417,0.070667
26,3,kembang cengkih,0.880333,0.488651,0.062333,0.069188
26,4,kambil sicukil,0.476763,0.494516,0.076432,0.050958
26,2,jung agung,0.075961,0.497854,0.064755,0.087052
26,13,kupi,0.411531,0.801063,0.092958,0.084896
26,6,abstrak,0.224258,0.160109,0.113911,0.125896
26,10,adiwarna,0.542003,0.172698,0.09712,0.079135
26,2,jung agung,0.204474,0.465755,0.107917,0.069562
26,4,kambil sicukil,0.476659,0.492401,0.093526,0.075531
26,13,kupi,0.552797,0.852555,0.087531,0.081536
27,6,abstrak,0.073268,0.128648,0.117453,0.132953
27,10,adiwarna,0.416409,0.133294,0.107276,0.093047
27,1,granitan,0.748378,0.09168,0.049661,0.021193
27,1,granitan,0.841313,0.152674,0.040917,0.025901
27,3,kembang cengkih,0.741818,0.479148,0.080396,0.070672
27,3,kembang cengkih,0.880385,0.488625,0.062365,0.06925
27,4,kambil sicukil,0.476773,0.494505,0.076432,0.050958
27,2,jung agung,0.076029,0.497846,0.064755,0.087047
27,13,kupi,0.411714,0.800924,0.093281,0.08487
27,6,abstrak,0.224258,0.160109,0.113911,0.125896
27,10,adiwarna,0.542003,0.172698,0.09712,0.079135
27,2,jung agung,0.204872,0.465833,0.107911,0.069562
27,4,kambil sicukil,0.476659,0.492594,0.093526,0.075531
27,13,kupi,0.552797,0.852555,0.087531,0.081536
28,6,abstrak,0.07325,0.12857,0.117458,0.132818
28,10,adiwarna,0.416406,0.133307,0.107281,0.093083
28,1,granitan,0.748362,0.091557,0.049661,0.021094
28,1,granitan,0.841307,0.152518,0.040844,0.025786
28,3,kembang cengkih,0.741893,0.479151,0.08038,0.070677
28,3,kembang cengkih,0.880437,0.488596,0.062396,0.069307
28,4,kambil sicukil,0.476784,0.494492,0.076432,0.050953
28,2,jung agung,0.076096,0.497836,0.064755,0.087047
28,13,kupi,0.411893,0.800786,0.093599,0.084844
28,6,abstrak,0.224258,0.160109,0.113911,0.125896
28,10,adiwarna,0.542003,0.172698,0.09712,0.079135
28,2,jung agung,0.205273,0.465917,0.107911,0.069563
28,4,kambil sicukil,0.476659,0.492786,0.093526,0.075531
28,13,kupi,0.552797,0.852555,0.087531,0.081536
29,6,abstrak,0.073232,0.128495,0.117453,0.132677
29,10,adiwarna,0.416406,0.133323,0.107292,0.093115
29,1,granitan,0.748346,0.091435,0.049661,0.020995
29,1,granitan,0.841302,0.152359,0.040771,0.025677
29,3,kembang cengkih,0.741969,0.479156,0.080354,0.070688
29,3,kembang cengkih,0.88049,0.488573,0.062427,0.069365
29,4,kambil sicukil,0.476792,0.494482,0.076438,0.050953
29,2,jung agung,0.076167,0.497826,0.06476,0.087047
29,13,kupi,0.412076,0.800651,0.093922,0.084813
29,6,abstrak,0.224258,0.160109,0.113911,0.125896
29,10,adiwarna,0.542003,0.172698,0.09712,0.079135
29,2,jung agung,0.205674,0.465995,0.107911,0.069563
29,4,kambil sicukil,0.476659,0.492974,0.093526,0.075531
29,13,kupi,0.552797,0.852555,0.087531,0.081536
30,6,abstrak,0.073211,0.128417,0.117453,0.132542
30,10,adiwarna,0.416406,0.133339,0.107292,0.093156
30,1,granitan,0.748331,0.091318,0.049661,0.020896
30,1,granitan,0.841294,0.152203,0.040703,0.025562
30,3,kembang cengkih,0.742044,0.479159,0.080339,0.070693
30,3,kembang cengkih,0.880542,0.488547,0.062458,0.069427
30,4,kambil sicukil,0.476799,0.494471,0.076432,0.050953
30,2,jung agung,0.076237,0.497818,0.064755,0.087052
30,13,kupi,0.412258,0.800513,0.094245,0.084786
30,6,abstrak,0.224258,0.160109,0.113911,0.125896
30,10,adiwarna,0.542003,0.172698,0.09712,0.079135
30,2,jung agung,0.206073,0.466073,0.107917,0.069562
30,4,kambil sicukil,0.476659,0.493167,0.093526,0.075531
30,13,kupi,0.552797,0.852555,0.087531,0.081536
31,6,abstrak,0.073195,0.128341,0.117453,0.132401
31,10,adiwarna,0.416404,0.133354,0.107297,0.093187
31,1,granitan,0.748315,0.091195,0.049661,0.020797
31,1,granitan,0.841292,0.152047,0.040635,0.025448
31,3,kembang cengkih,0.742117,0.479161,0.080318,0.070698
31,3,kembang cengkih,0.880594,0.488518,0.06249,0.069484
31,4,kambil sicukil,0.47681,0.494461,0.076432,0.050953
31,2,jung agung,0.076305,0.49781,0.064755,0.087047
31,13,kupi,0.412438,0.800372,0.094562,0.084755
31,6,abstrak,0.224258,0.160109,0.113911,0.125896
31,10,adiwarna,0.542003,0.172698,0.09712,0.079135
31,2,jung agung,0.206471,0.466156,0.107911,0.069562
31,4,kambil sicukil,0.476659,0.493357,0.093526,0.075526
31,13,kupi,0.552797,0.852555,0.087531,0.081536
32,6,abstrak,0.073174,0.128263,0.117453,0.132266
32,10,adiwarna,0.416404,0.133372,0.107307,0.093224
32,1,granitan,0.748299,0.091073,0.049661,0.020698
32,1,granitan,0.841286,0.151893,0.040563,0.025339
32,3,kembang cengkih,0.742193,0.479164,0.080302,0.070703
32,3,kembang cengkih,0.880646,0.488492,0.062521,0.069547
32,4,kambil sicukil,0.47682,0.494451,0.076432,0.050953
32,2,jung agung,0.076372,0.497799,0.064755,0.087047
32,13,kupi,0.41262,0.800234,0.094885,0.084729
32,6,abstrak,0.224258,0.160109,0.113911,0.125896
32,10,adiwarna,0.542003,0.172698,0.09712,0.079135
32,2,jung agung,0.206872,0.466234,0.107911,0.069563
32,4,kambil sicukil,0.476659,0.493547,0.093526,0.075531
32,13,kupi,0.552797,0.852555,0.087531,0.081536
33,6,abstrak,0.073156,0.128188,0.117448,0.132125
33,10,adiwarna,0.416401,0.133385,0.107312,0.09326
33,1,granitan,0.748284,0.090953,0.049661,0.020604
33,1,granitan,0.841281,0.151737,0.04049,0.025224
33,3,kembang cengkih,0.742266,0.479167,0.080281,0.070708
33,3,kembang cengkih,0.880698,0.488464,0.062552,0.069604
33,4,kambil sicukil,0.476826,0.49444,0.076432,0.050953
